Front	Phonetic	中文释义	English	总次数	出现集数	Contexts	出现详情
hacky	/'hæki/	n. 出租汽车司机		1	1	[S06E08] Yeah, no, Ralph doesn’t look anything like that guy. He’s-he’s young and he’s got long hair and a beard and a hacky sack	S06E08(1)
hade	/heid/	n. 伸角, 断层倾角	n. The descent of a hill.	1	1	[S09E21] Uh-oh. I hade a pretty hectic day at work too, today I had to open a door and go  ohhhh!	S09E21(1)
hadens		n. (Haden)人名；(日)羽田(姓)；(英)黑登；(匈)豪登		1	1	[S04E10] Maybe, before the game we could enjoy some eight year old some small batch Basel Hadens.	S04E10(1)
haggle	/hægl/	vi. 争论, 杀价	n. an instance of intense argument (as in bargaining)	2	2	[S05E21] Obviously you know how to haggle, so I'm not gonna try and take you on. Okay? So $800 and I don't call the cops because  ◆ [S06E23] Wait a minute, no, this is, this is the reason you brought me. Okay? I know how to haggle. So let me handle this from he	S05E21(1), S06E23(1)
hah	/hɑ:/	int. 哈, 嘿	interj. Same as Ha.	10	9	[S01E11] I sang.  Hah! ◆ [S01E16] Absolutely.  So, twins... hah! That’s like two births.  Ouch. ◆ [S01E17] Hah, no no no no no no no no no no. ◆ [S04E23] Okay. Umm, before we get started, I just wanna say for the record that I love Ross, I think he’s such a great guy. Here. ◆ [S06E12] Hah!	S01E11(1), S01E16(1), S01E17(1), S04E23(1), S04E23-uncut(1), S06E12(1), S08E16(1), S09E16(1), S10E17-E1018(2)
haha		n. 哈哈（笑）		7	6	[S01E17] Yeah... Yeah, I know it's pretty selfish, but haha, hey, that's me.  Why don't you try the hummus? Dr. Rosen: So, Monica ◆ [S04E06] Ahahaha... haha.. yes I can, of course. Excuse me. ◆ [S09E10] Haha, no thanks! ◆ [S09E17] Haha! ◆ [S09E21] Haha! Got ya! Die, die, die!	S01E17(1), S04E06(1), S09E10(1), S09E17(2), S09E21(1), S10E12(1)
haim		n. (Haim)人名；(德、罗)海姆；(法)安；(以)哈伊姆		1	1	[S10E11] I know. But if some guy who looks like Corey Haim wants to kiss me tonight, I'm sooo gonna let them!	S10E11(1)
haircut	/'hєәkʌt/	n. 理发, (男子的)发式	n. the style in which hair has been cut	10	9	[S01E24] Oh, look, he's got Ross's haircut! ◆ [S02E01] Well, I was thinking, that you gave the guys such great haircuts, I thought, maybe you'd like to do mine? ◆ [S02E11] Well, then, you know, couldn't she have just copied my haircut? ◆ [S02E15] Yeah, but uh, it was 1982 and my flock of seagulls haircut was tickling her chin. ◆ [S04E10] Good! Now, take those salads to table 4,  And you! Get the swordfish!  And you! Get a haircut!	S01E24(1), S02E01(1), S02E11(1), S02E15(1), S04E10(1), S05E19(2), S07E11(1), S08E10(1), S08E11(1)
hairdo	/'hєәdu:/	n. 束发, 发式, 作头发	n. the arrangement of the hair (especially a woman's hair)	1	1	[S03E22] Hot coffee!!! You idiot!! You were gonna spill hot coffee all over me, huh?!! What are you just some big, dumb, stupid, 	S03E22(1)
hairline	/'heәlain/	n. 发际线, 细缝, 细微的区别	n. a very thin line	2	2	[S01E02] Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I h ◆ [S03E24] Y'know I have a torn rotator cuff, a hairline fracture in my right forearm, and a severely bruised Adam’s Apple, but tha	S01E02(1), S03E24(1)
hairpiece	/'hєәpi:s/	n. 假发	n. a covering or bunch of human or artificial hair used for disguise or adornment	1	1	[S01E01] All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?	S01E01(1)
hairy	/'hєәri/	a. 多毛的, 毛状的, 长毛的	a. having or covered with hair	8	7	[S04E14] You don’t want to be guys, you’d be all hairy and wouldn’t live as long. ◆ [S05E06] It was like this crazy-eyed, hairy beast man! He was like a, like a bigfoot or a yeti or something! ◆ [S05E12] You two will have very hairy children. ◆ [S08E11] Oh, okay. Hey, can I ask you a question? Was it me, or-or was the guy who took my blood sample really cute? Y’know who I ◆ [S09E13] Your knuckles are kinda hairy too...	S04E14(1), S05E06(2), S05E12(1), S08E11(1), S09E13(1), S10E04(1), S10E08(1)
halen		n. (Halen)人名；(捷)哈伦；(英)海伦		1	1	[S10E02] Underwear, a toothbrush, and Van Halen CD. I can use all these things!!	S10E02(1)
haley		n. 哈利（人名）	n. United States rock singer who was one of the first to popularize rock'n'roll music (1925-1981)	1	1	[S10E08] We can't leave now! There was this one baby, Haley, who was favourite to win and she got croup, so she had to stay home!	S10E08(1)
halftime		n. 中场休息	n. an intermission between the first and second half of a game	3	2	[S03E09] Halftime. ◆ [S04E15] That’s just halftime, there’s more of this.	S03E09(2), S04E15(1)
halfway	/'hɑ:f'wei/	a. 中途的, 不彻底的, 部分的	s. at a point midway between two extremes	2	2	"[S02E21] Phoebs, he's just a little dog. [turns back to the car window and the dog is halfway through it.] Ahhh. ◆ [S08E10] Ahhh! I heard ""I do"", we’re halfway there! Okay!  You!"	S02E21(1), S08E10(1)
halibut	/'hælibәt/	n. 大比目鱼	n. lean flesh of very large flatfish of Atlantic or Pacific	1	1	[S10E12] Oh, it's my wedding planner. She's driving me crazy!  Hello... Hey, ok, stop screaming! Ok? So, halibut. All right, so s	S10E12(1)
halle		n. 哈雷（德国城市）	n. a city in the Saxony region of Germany on the Saale River; a member of the Hanseatic League durin	1	1	[S03E05] Ah, Kim Basinger, Cindy Crawford, Halle Berry, Yasmine Bleeth, and ah, Jessica Rabbit.	S03E05(1)
halloween	/.hælәu'i:n/	n. (基督教)万圣节前夕	n. the evening before All Saints' Day; often devoted to pranks played by young people	15	10	[S01E04] Eleven days before Halloween.. all the good costumes are gone? ◆ [S02E11] These are from Halloween three years ago. MRS GREEN: Oh, look, here's Barry. Did he have to come straight from the offic ◆ [S03E02] Ross, that was a Halloween costume, unless you would like me to go to this thing as Little Bo Peep. ◆ [S03E05] That’s the same month as Halloween. So, um, what kinda things do you like to do at home? ◆ [S07E02] Well, at least you’re not hearing it for the first time at your fifth grade Halloween party. Mr. Geller: What?! They wan	S01E04(1), S02E11(1), S03E02(1), S03E05(1), S07E02(1), S07E06(1), S08E06(6), S08E07(1), S09E05(1), S10E11(1)
hallway	/'hɔ:lwei/	n. 门厅；玄关；走廊	n. an interior passage or corridor onto which rooms open	17	15	[S02E22] Oh, mine too. Isn't that neat, scotch neat. Would you excuse me? [walks out in the hallway, Mr. Greene is walking out of ◆ [S03E13] All right I’ll talk in code.  Remember when the kid sees those two blanks in the hallway? ◆ [S03E22] Oh, yeah! I-I ran into you in the hallway in your building. It was right after I slept with Joey. He dumped me the next  ◆ [S04E16] Yeah, you got like 14 hours until she has to be at the airport, and you’re sitting here in the hallway with a 28-year-ol ◆ [S05E07] I don't know! He hasn't called me since that one time when we went out. I see him in the hallway, we flirt, I'm all ha-h	S02E22(3), S03E13(1), S03E22(1), S04E16(1), S04E21(1), S05E07(1), S05E19(1), S06E11(1), S07E01(1), S07E10(1), S07E11(1), S08E05(1), S08E18(1), S09E08(1), S09E16(1)
halt	/hɒ:lt/	n. 停止, 立定, 休息	v. cause to stop	1	1	[S02E09] Ooh, this is it, 74. [screeches to a halt, Joey and Chandler are thrown into the plexiglass wall in the cab]	S02E09(1)
halvorson		[人名] 霍尔沃森		2	2	[S09E18] Brian Buckner & Sebastian Jones Directed by: Gary Halvorson ◆ [S09E21] Scott Silveri Directed by: Gary Halvorson	S09E18(1), S09E21(1)
ham	/hæm/	n. 火腿, 后腿, 笨拙演员	n. meat cut from the thigh of a hog (usually smoked)	9	5	[S01E08] Well, sure, what with it being her funeral and all. Mrs. Geller: No, I'd be hearing about 'Why didn't I get the honey-gl ◆ [S01E16] This is unbelievable. It’s been like a half an hour. If this was a cartoon, you’d be looking like a ham right about now. ◆ [S02E18] Oh good, ok. Oh nooo, I have to go because I'm late for my um, Green Eggs and Ham discussion group. Um tonight it's why  ◆ [S02E21] Olive loaf and ham spread, no mayo. ◆ [S09E10] I was, uh, checking out that insurance company's Christmas party on three, oh, it was really beautiful, they have all th	S01E08(1), S01E16(1), S02E18(1), S02E21(1), S09E10(5)
hamburger	/'hæmbә:gә/	n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排	n. a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredient	5	4	[S02E21] Ok, so uh, who wants the last hamburger? ◆ [S03E11] Oh well then, so I’m just going to go back to talking to my friend here. And you can go back to enjoying your little ham ◆ [S03E13] So, you wanna get a hamburger or something? ◆ [S10E11] You put this on a hamburger!	S02E21(2), S03E11(1), S03E13(1), S10E11(1)
hamilton	/'hæmiltәn/	n. 汉密尔顿（男子名）；哈密尔顿（美国城市名）	n. Irish mathematician (1806-1865)	2	2	[S03E23] Well then, what is it?! Dr. Rhodes: Wait a minute, hold it.  Johnson! Will you come in here a moment? Dr. Johnson: I'm w ◆ [S10E12] Alright, wait, so what you're saying is that the chef is at the Hamilton Club, but the food is not and the drinks are th	S03E23(1), S10E12(1)
hammel		[人名] [英格兰人姓氏] 哈梅尔 Hamill的变体		1	1	[S03E05] All right let me see.  Uma Thurman, Winona Ryder, Elizabeth Hurely, Michelle Pfieffer, and Dorothy Hammel?	S03E05(1)
hammer	/'hæmә/	n. 锤, 铁锤, 钉锤	n. the part of a gunlock that strikes the percussion cap when the trigger is pulled	14	12	[S01E01] Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said ◆ [S01E21] He can hold a banana, if that's whatcha mean... Dr. Baldhara: How about a hammer, or a small blade? ◆ [S02E10] I needed to buy a hammer the other night, and I'm out walkin' around the neighborhood but apparently there are no hardwa ◆ [S03E11] How hammered are you? Huh? These, these are Joey’s sisters. ◆ [S04E21] Oh God Monica hi! I just went to your building and you weren't there and then this guy with a big hammer said you might 	S01E01(1), S01E21(1), S02E10(2), S03E11(1), S04E21(1), S04E23(1), S04E23-uncut(1), S05E10(1), S06E08(2), S07E14(1), S07E23(1), S08E05(1)
hammerhead	/'hæmәhed/	n. 锤头, 笨人	n. the striking part of a hammer	1	1	[S01E24] Exactly! And you just know I'm gonna be the guy caught behind this hammerhead in traffic!	S01E24(1)
hammock	/'hæmәk/	n. 吊床	n. a hanging bed of canvas or rope netting (usually suspended between two trees); swings easily	6	2	[S03E08] Ewww! Ugly Naked Guy is using his new hammock. It’s like a Play-Doo Fat Factory. ◆ [S10E14] Wrong again! Apparently you can change it to anything you want. So I thought, all right, here's an opportunity to be cre	S03E08(1), S10E14(5)
hamper	/'hæpә/	n. 食篮, 阻碍物, 食盒	n. a basket usually with a cover	2	2	[S03E05] Oh yeah. If you ah, move your hamper, you see what color the tile used to be.  Yeah. ◆ [S08E12] Yeah well that’s because uh…I stayed in my room. Yeah, you don’t want to look in my hamper.	S03E05(1), S08E12(1)
hamster	/'hæmstә/	n. 仓鼠	n. short-tailed Old World burrowing rodent with large cheek pouches	7	4	[S04E05] Oh, Kath, we should get going. We're going to by hamsters. ◆ [S04E06] My hamster. I hope she's okay, I haven't seen her in a while. Have a seat. ◆ [S05E04] No, it sucks. I was saving up to buy a hamster. ◆ [S08E20] He was a hamster! I am not going to vacuum up my baby!	S04E05(2), S04E06(2), S05E04(2), S08E20(1)
han	/hæn/	n. 汉朝；汉民族	n. imperial dynasty that ruled China (most of the time from 206 BC to AD 220) and expanded its bound	5	1	[S02E12-E0213] That's right, he's not Drake, he's Hans Remore, Drake's evil twin.	S02E12-E0213(5)
handbag	/'hændbæg/	n. 手提包	n a container used for carrying money and small personal items or accessories (especially by women)	3	3	[S02E12-E0213] You give me back my sweater or it's handbag marinara. ◆ [S03E04] The big hat, the pearls, the little pick handbag. ◆ [S07E15] Umm, okay. But while you dial, let me show you the features of my new ringing handbag.  Oh, it does work!	S02E12-E0213(1), S03E04(1), S07E15(1)
handbasket		= go to the dogs at dog n.	n a container that is usually woven and has handles	1	1	[S07E22] Ladies and gentlemen please welcome the incomparable Helena Handbasket!	S07E22(1)
handbook	/'hænd,buk/	n. 手册	n. a concise reference book providing specific information about a subject or location	1	1	[S06E18] Wow! It actually is in the handbook. I can’t date you or have a hot plate in my office. I can’t believe we have to stop 	S06E18(1)
handcuff	/'hændkʌf/	vt. 给...戴上手铐	n. shackle that consists of a metal loop that can be locked around the wrist; usually used in pairs	6	4	[S04E03] No, I just always see guys doing this when they get handcuffs taken off them.  Hello sweet pants! ◆ [S08E08] Uh, no. But I could pretend to strip, but that’s gonna cost extra. Okay, here’s the extras, handcuffs, spanking… ◆ [S09E23-E0924] Oh, ok, you want me to marry Mike? Alright, well, let's just gag him and handcuff him and force him down the aisle. I ca ◆ [S10E16] Hey! Handcuffs! And fur line, nice! I didn't know you guys had it in ya!	S04E03(1), S08E08(1), S09E23-E0924(1), S10E16(3)
handful	/'hændful/	n. 少数, 一把, 棘手事	n. a small number or amount	4	4	[S02E23] Uhh, I can't stop thinking about it. It's just so hard. I just wanna grab all these houses and rub 'em all over my body. ◆ [S05E03] Maybe not! Y'know? Seriously, three babies are a handful maybe they're y'know, looking for a chance to unload one of the ◆ [S06E01] All right. Okay Chandler, enjoy your handful. ◆ [S10E02] Well, they may be a handful, but they're so cute. Frank Jr.: Yeah.	S02E23(1), S05E03(1), S06E01(1), S10E02(1)
handkerchief	/'hæŋkәtʃif/	n. 手帕, 头巾, 围巾	n. a square piece of cloth used for wiping the eyes or nose or as a costume accessory	2	2	"[S04E21] Hey, pretty smart! Tissue paper! You’re at the wedding, you have to cry, ""Handkerchief?"" ""No-no, I got my invitation."" ◆ [S07E06] And umm, vintage handkerchiefs y’know ‘cause, people cry at weddings.  I’m just gonna grab a couple of these."	S04E21(1), S07E06(1)
handshake	/'hændʃeik/	n. 握手	n. grasping and shaking a person's hand (as to acknowledge an introduction or to agree on a contract	5	2	[S05E17] Okay! All right, let's start with the handshake. Hi. ◆ [S10E17-E1018] I think there may be another reason. So, awkward hug or lame cool guy handshake?	S05E17(3), S10E17-E1018(2)
handsome	/'hænsәm/	a. 英俊的, 大方的, 慷慨的, 相当可观的, 美观的, 灵敏的	s pleasing in appearance especially by reason of conformity to ideals of form and proportion	13	11	[S01E11] I'll have you know that Gloria Tribbiani was a handsome woman in her day, alright? You think it's easy giving birth to s ◆ [S02E16] No, a doctor of meat. Of course he's a real doctor. And he's handsome, and he's sweet, and know you'd like him. [she put ◆ [S05E10] A handsome man enters.  Hey! How's it going guys? I don't know what you two were talking about, but I'd like to say than ◆ [S06E13] What handsome is not your type? Smart? Kind? Good kisser? What those things aren’t on your list? Ross is a great guy! Yo ◆ [S07E06] Hey there, you handsome thing.	S01E11(1), S02E16(1), S05E10(2), S06E13(1), S07E06(1), S07E14(1), S07E20(2), S07E22(1), S08E06(1), S08E16(1), S10E17-E1018(1)
handsomeness	/'hænsəmnəs/	n. 英俊, 漂亮	n. the quality of having regular well-defined features (especially of a man)	1	1	[S06E21] You’re Elizabeth’s father, huh? I can see now where she gets her rugged handsomeness.	S06E21(1)
handwrite	/'hændrait/	vt.<古>用手写 , 亲手写	v write by hand	2	2	[S05E22] Are you angry at me because I said your handwriting is childlike? ◆ [S06E18] Oh, ‘cause you can just match the evaluation to the exam with the same handwriting and boom, there’s your admirer.	S05E22(1), S06E18(1)
handwritten	/'hænd.ritәn/	a. 手写的	s. written by hand	1	1	[S10E05] Hello, this is Chandler Bing. Somebody just dropped off a handwritten recommendation letter, and..  Uh-huh... Uh-huh... 	S10E05(1)
handy	/'hændi/	a. 便利的, 敏捷的, 容易取得的	n. United States blues musician who transcribed and published traditional blues music (1873-1958)	6	5	[S04E01] Oh, oh, and hey-hey-hey, those little spelling tips will come in handy when you’re at home on Saturday nights playing Sc ◆ [S05E13] Y'know what? Make fun all you want. This is a great bag! Okay? And it's as handy as it is becoming. Now, just because yo ◆ [S05E15] Yeah, he's the handy man. He's gonna be retiring next week and everyone who lives here is kicking in a 100 bucks as a th ◆ [S06E12] You see, now, I would date this girl. She’s cute, she’s outdoorsy, you know, and she knows how to build a fire. I mean,  ◆ [S07E09] Boy I tell ya, this little talent came in handy before I could afford porn.	S04E01(1), S05E13(1), S05E15(2), S06E12(1), S07E09(1)
handyman	/'hændimæn/	n. 杂务工, 手巧的人, 水手	n. a man skilled in various odd jobs and other small tasks	1	1	[S09E16] Anyway erm, are you going to get a handyman to install this stuff?	S09E16(1)
hang	/hæŋ/	n. 悬挂, 诀窍, 意义	n. the way a garment hangs	177	117	[S01E01] Well actually thanks, but I think I'm just gonna hang out here tonight.  It's been kinda a long day. ◆ [S01E06] Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear.  All you want is ◆ [S01E12] You guys are always hanging out in my apartment! Come on, I'll only use my left hand, huh? Come on, wussies!  All right, ◆ [S01E17] If it was, would you stop hanging out with her? ◆ [S01E19] Oh, hang on, hang on. Does Aunt Monica get a say in this?	S01E01(1), S01E06(1), S01E12(1), S01E17(1), S01E19(2), S01E22(1), S02E01(4), S02E02(1), S02E03(1), S02E04(1), S02E06(1), S02E07(2), S02E08(1), S02E09(1), S02E11(1), S02E12-E0213(1), S02E14(2), S02E16(1), S02E17(1), S02E19(1), S02E20(2), S02E21(2), S02E24(1), S03E01(2), S03E02(1), S03E03(1), S03E04(2), S03E06(1), S03E08(1), S03E11(1), S03E15(1), S03E17(2), S03E18(4), S03E22(5), S03E24(1), S04E01(2), S04E02(1), S04E07(1), S04E08(1), S04E09(3), S04E11(1), S04E13(4), S04E15(1), S04E17(1), S04E18(1), S04E20(5), S04E21(6), S04E22(1), S04E23(1), S04E23-uncut(1), S05E01(1), S05E04(1), S05E05(1), S05E06(2), S05E07(1), S05E10(2), S05E11(1), S05E12(1), S05E15(1), S05E17(1), S05E18(1), S05E22(2), S06E03(1), S06E04(1), S06E06(1), S06E07(2), S06E08(1), S06E11(4), S06E12(1), S06E15-E0616(7), S06E19(1), S06E20(1), S06E24(1), S07-Outtakes(3), S07E03(1), S07E04(3), S07E08(1), S07E09(1), S07E10(1), S07E12(1), S07E13(2), S07E15(1), S07E16(1), S07E19(1), S07E21(1), S07E22(1), S07E23(1), S08E04(2), S08E05(1), S08E07(2), S08E08(1), S08E09(1), S08E11(2), S08E14(1), S08E15(1), S08E17(1), S08E18(1), S08E19(2), S08E21(1), S08E22(1), S09E08(1), S09E09(1), S09E11(2), S09E15(1), S09E16(1), S09E17(4), S09E19(1), S09E22(1), S09E23-E0924(2), S10E01(1), S10E03(1), S10E05(1), S10E11(1), S10E12(1), S10E14(1), S10E16(1), S10E17-E1018(1)
hanger	/'hæŋә/	n. 挂钩, 吊架, 衣架, 挂衣钩	n. a worker who hangs something	5	5	[S01E01] I can see that. You look like you slept with a hanger in your mouth. ◆ [S03E11] Oh thank you so much Mr. Kaplan, thank you so much. Mr. Kaplan:  I need these hangers separated ASAP.  You’re welcome. ◆ [S03E17] Relax okay, I-I-I can get this open. Anybody have a coat hanger? ◆ [S06E03] But y’know what, if you think it’s gonna be okay we’ll just work out a system. Y’know, it’ll be like college, I’ll hang  ◆ [S07E20] A freakish thin date with a hanger for her head?	S01E01(1), S03E11(1), S03E17(1), S06E03(1), S07E20(1)
hangover	/'hæŋәuvә/	n. 宿醉, 残留物, 遗物	n. disagreeable aftereffects from the use of drugs (especially alcohol)	1	1	[S06E01] Oh Ross, come on! This is not, this is not a marriage!! This is the world’s worst hangover! Ross, listen, if you do not 	S06E01(1)
hank	/hæŋk/	n. 一束, 一圈	n. a coil of rope or wool or yarn	1	1	[S05E12] Oh. Are you sure you don't want to come? Tom Hanks, Meg Ryan, they get mail and stuff.	S05E12(1)
hannibal	/'hænibәl/	n. 汉尼巴尔（男子名）；汉尼拔（公元前247～前183, 迦太基名将、统帅）	n. general who commanded the Carthaginian army in the second Punic War; crossed the Alps and defeate	1	1	[S02E19] Hannibal Lecter...better roommate than you.	S02E19(1)
hantavirus		[医]汉坦病毒属		1	1	[S09E12] You can't keep a rat in your appartment! They're extremely unsanitary, and they transmit leptospirosis and hantavirus.	S09E12(1)
hanukkah	/'hɑ:nәkә/	n. 光明节（犹太教节日, 等于Chanukah）	n. (Judaism) an eight-day Jewish holiday commemorating the rededication of the Temple of Jerusalem i	20	5	"[S02E09] Excuse me, I'm seizing. Mr. Treeger, here's another 50, happy Hanukkah. Will uh, will this help with the knob getting? ◆ [S03E10] No, but ah, there’s coconut in the Hanukkah Menoreoes. I tell you what, I’ll put you down for eight boxes, one for each  ◆ [S04E06] Because she's not eleven! And it's not the seventh night of Hanukkah! ◆ [S07E10] Nope. I mean, I know Susan does every year, but I think I wanna take this year to teach him all about Hanukkah. ◆ [S09E10] So here is a, a very special holiday song that I wrote for some very important people to me.  ""Went to the store, sat on"	S02E09(1), S03E10(1), S04E06(1), S07E10(15), S09E10(2)
hap	/hæp/	n. 偶然, 机会, 运气	n. an accidental happening	2	1	[S09E08] wow. They must put a lot of makeup on you. Joey looks rejected: Hap.. Hap.. Happy Thanksgiving. <Joey turns away and Cha	S09E08(2)
haphazard	/hæp'hæzәd/	n. 偶然性, 偶然事件	s. dependent upon or characterized by chance	1	1	[S01E06] Really? Just casually strewn about in that reckless haphazard manner?	S01E06(1)
happ		n. (Happ)人名；(德、英、瑞典)哈普		1	1	[S04E21] Oh, no! No you guys! Come on, you don’t have to do that! I’m happy for him! I am! I really—I’m-I’m happ—I’ll work on it.	S04E21(1)
happen	/'hæpәn/	vi. 发生, 发生, 恰巧	v. come to pass	385	206	[S01E01] What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you ◆ [S01E02] Okay! Okay.  Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, we ◆ [S01E03] No. Not after what happened with Steve. ◆ [S01E05] No, I know, but it's just so hard, you know? I mean, you're sitting there with her, she has no idea what's happening, an ◆ [S01E06] Oh, shhh, shh. Magic is about to happen.	S01E01(2), S01E02(1), S01E03(1), S01E05(1), S01E06(3), S01E07(1), S01E08(1), S01E09(1), S01E10(1), S01E11(3), S01E12(2), S01E13(2), S01E14(1), S01E15(2), S01E16(1), S01E17(1), S01E18(1), S01E19(2), S01E20(1), S01E21(1), S01E22(2), S01E24(2), S02E01(3), S02E02(1), S02E03(1), S02E04(2), S02E05(1), S02E07(1), S02E08(1), S02E10(1), S02E11(1), S02E12-E0213(2), S02E14(2), S02E15(1), S02E16(1), S02E18(2), S02E19(2), S02E20(3), S02E21(3), S02E22(2), S02E23(1), S02E24(1), S03E01(1), S03E02(1), S03E03(2), S03E04(2), S03E05(1), S03E06(1), S03E07(1), S03E08(2), S03E10(1), S03E11(2), S03E12(1), S03E13(1), S03E14(1), S03E15(2), S03E16(3), S03E17(3), S03E18(4), S03E20(1), S03E21(4), S03E22(1), S03E23(1), S03E24(2), S03E25(3), S04E01(11), S04E02(2), S04E03(1), S04E04(1), S04E05(1), S04E06(3), S04E07(4), S04E08(3), S04E09(1), S04E10(2), S04E11(2), S04E12(1), S04E13(2), S04E14(2), S04E15(1), S04E16(1), S04E17(2), S04E18(1), S04E20(2), S04E21(1), S04E22(1), S04E23(1), S04E23-uncut(1), S05E01(1), S05E02(1), S05E03(1), S05E04(1), S05E05(2), S05E06(2), S05E08(1), S05E09(2), S05E10(2), S05E12(1), S05E13(3), S05E14(1), S05E15(1), S05E17(3), S05E18(1), S05E19(1), S05E20(2), S05E21(2), S05E22(1), S05E23(1), S06E01(2), S06E02(3), S06E03(1), S06E04(1), S06E05(2), S06E06(1), S06E07(1), S06E08(3), S06E09(2), S06E10(2), S06E11(1), S06E13(4), S06E14(6), S06E15-E0616(3), S06E19(1), S06E20(4), S06E22(1), S06E23(2), S06E24(5), S07-Outtakes(2), S07E01(3), S07E02(4), S07E03(1), S07E04(5), S07E06(2), S07E07(1), S07E08(2), S07E09(2), S07E10(1), S07E12(1), S07E13(5), S07E14(1), S07E15(1), S07E16(2), S07E18(1), S07E19(1), S07E20(9), S07E21(1), S07E22(2), S07E23(1), S08E01(1), S08E02(1), S08E03(1), S08E04(7), S08E05(2), S08E06(1), S08E07(1), S08E08(2), S08E09(1), S08E10(1), S08E11(3), S08E12(2), S08E13(1), S08E14(2), S08E15(4), S08E16(3), S08E17(1), S08E18(2), S08E19(3), S08E20(1), S08E21(1), S08E22(1), S08E23(1), S09E01(3), S09E02(1), S09E03(1), S09E05(3), S09E06(1), S09E08(3), S09E09(4), S09E10(2), S09E11(1), S09E12(1), S09E13(2), S09E14(2), S09E15(2), S09E16(1), S09E17(1), S09E18(1), S09E19(1), S09E21(1), S09E22(2), S09E23-E0924(7), S10E01(2), S10E02(3), S10E03(5), S10E04(1), S10E05(1), S10E06(1), S10E07(1), S10E08(1), S10E10(1), S10E11(1), S10E12(1), S10E14(2), S10E15(2), S10E16(2), S10E17-E1018(2)
happenin		na. 偶然到…(来)		1	1	[S09E20] What's happenin'?	S09E20(1)
happier		a. 更快乐的, 更幸福的	a enjoying or showing or marked by joy or pleasure	10	9	[S02E11] You know, nothing makes God happier than when two people, any two people, come together in love. Friends, family, we're  ◆ [S02E16] Dad, dad this is a good thing for me. Ya know, and you even said yourself, you've never seen Richard happier. ◆ [S02E17] Oh, I couldn't be happier. ◆ [S02E18] Oh honey, are you jealous of Paolo? Oh, c'mon, I'm so much happier with you than I ever was with him. ◆ [S02E20] Oh yeah. You know, I don't know if I was happier when um George Bailey destroyed the family business or um, Donna Reid c	S02E11(1), S02E16(1), S02E17(1), S02E18(1), S02E20(1), S07E05(2), S07E07(1), S07E21(1), S10E08(1)
happiest		a. 幸福的；快乐的	a enjoying or showing or marked by joy or pleasure	8	7	[S02E21] Yeah, he loved stilts. One time I was upstairs, I was stealing cigarettes out of my mom's purse, and uh, all of a sudden ◆ [S04E23] You say you love this man, yet you’re about to ruin the happiest day of his life. I’m afraid I have to agree with you fr ◆ [S04E23-uncut] You say you love this man, yet you're about to ruin the happiest day of his life. I'm afraid I have to agree with you fr ◆ [S07E11] Aww that’s nice. Family should be there, huh? This is her wedding, happiest day of her life. ◆ [S08E02] And I’m the happiest guy in the world!  Oh honey, come on don’t be upset. We still have so much to look forward to!	S02E21(1), S04E23(1), S04E23-uncut(1), S07E11(1), S08E02(1), S08E15(2), S10E14(1)
happily	/'hæpili/	adv. 幸福地, 快乐地, 幸好	r. in a joyous manner	6	5	[S03E19] And the inventor of the door rests happily in his grave. ◆ [S05E13] Okay, umm, question 2) Umm, did that marriage end A. Happily, B. Medium, or C. In the total abandonment of her and her t ◆ [S09E08] Oh. <opens door preparing herself and then happily says> Amy! Happy Thanksgiving. ◆ [S09E10] I'm *happily* married. ◆ [S10E14] Oh Ross, come on. He's happily married. His wife just had twins.	S03E19(1), S05E13(1), S09E08(1), S09E10(2), S10E14(1)
happiness	/'hæpinis/	n. 快乐, 幸运, 适当	n. state of well-being characterized by emotions ranging from contentment to intense joy	11	11	[S02E05] That doesn't matter. She wanted to call Bob. Hey, for all we know, Bob is who she was meant to be with. You may be destr ◆ [S02E12-E0213] Hey, just because this woman thinks she can actually see Joey through the magical box in her living room doesn't mean sh ◆ [S04E22] Yeah, oh I’m sorry, it must be really hard to hear! I tell ya, it’s a lot easier having three babies play Bringing in th ◆ [S04E23] Friends. Family. We are gathered to celebrate here today the joyous union of Ross and Emily. May the happiness we share  ◆ [S05E04] Oh, I'm still mad at them but I also now that they bring happiness to lots of kids who's moms didn't kill themselves, so	S02E05(1), S02E12-E0213(1), S04E22(1), S04E23(1), S04E23-uncut(1), S05E04(1), S07E03(1), S07E07(1), S07E22(1), S10E01(1), S10E12(1)
harass	/'hærәs/	vt. 使困扰, 使烦恼, 折磨	v. annoy continually or chronically	1	1	[S05E04] Ross, I'm only ringing to say stop harassing my relatives. Good-bye!	S05E04(1)
