Front	Phonetic	中文释义	English	总次数	出现集数	Contexts	出现详情
achieve	/ә'tʃi:v/	vt. 完成, 达到	v. to gain with effort	5	5	[S02E10] Wait, wait, wait, wait, wait one minute. Wait a minute. I believe this will change your mind. [Reads from paper] In a me ◆ [S04E14] Phase Three! I just achieved Phase Three! ◆ [S06E17] Unagi is a state of total awareness. Okay? Only by achieving true unagi can you be prepared for any danger that may befa ◆ [S07E11] Well—But—Now, if-if you can achieve positronic distillation of sub-atomic particles y’know before he does, then he can c ◆ [S09E22] Well, remember how I was trying to achieve the positronic distillation of subatomic particles?	S02E10(1), S04E14(1), S06E17(1), S07E11(1), S09E22(1)
acknowledge	/әk'nɒlidʒ/	vt. 承认, 告知收悉, 答谢, 报偿	v. report the receipt of	3	3	[S02E12-E0213] I can't do Chris's makeup. She refuses to acknowledge that she has a moustasche. DIRECTOR'S ASSISTANT: Is it bad? ◆ [S08E22] I don’t. But I would still like to be acknowledged. What? Just because I’m pregnant you think I’m invisible. ◆ [S10E14] No, no. It felt nice to acknowledge this.	S02E12-E0213(1), S08E22(1), S10E14(1)
acne	/'ækni/	n. 痤疮, 粉刺	n. an inflammatory disease involving the sebaceous glands of the skin; characterized by papules or p	1	1	[S08E23] Hi! Hi sweetheart! This is my husband Sid, I don’t think you’ve met him. Ross, Rachel, this is Sid. I nabbed him a year 	S08E23(1)
acoustic	/ә'ku:stik/	a. 听觉的, 声学的, 音响的	n. a remedy for hearing loss or deafness	1	1	[S09E03] Well, like acoustic folksy stuff. You know? But right now I'm working on a couple 'Iron Maiden' covers.	S09E03(1)
acoustical	/ә'ku:stikәl/	a. 听觉的, 声学的	a of or relating to the science of acoustics	1	1	[S01E09] Ok, ok, here we go.  Ok, where am I talking to, here? I mean, uh, well, there is one way that seems to offer a certain a	S01E09(1)
acquaint	/ә'kweint/	vt. 使认识, 介绍	v. inform	1	1	[S10E09] Hi. Agency guy: I'll let you get acquainted.	S10E09(1)
acre	/'eikә/	n. 英亩	n. a unit of area (4840 square yards) used in English-speaking countries	1	1	[S02E15] I know. chandler: Now we can finally watch Green Acres the way it was meant to be seen.	S02E15(1)
acrimonious	/ækri'mәunjәs/	a. 尖刻的, 讥讽的, 激烈的	s. marked by strong resentment or cynicism	3	1	[S09E21] Yeah! She is cool, and she's so smart! Her mind is totally acrimonious	S09E21(3)
actor	/'æktә/	n. 男演员, 行动者	n. a theatrical performer	88	57	"[S01E01] Yeah, I'm an actor. ◆ [S01E05] Bob is great. He's smart, he's sophisticated, and he has a real job. You, you go on three auditions a month and you call ◆ [S01E06] Can you believe this? Al Pacino! This guy's the reason I became an actor! ""I'm out of order? Pfeeeh. You're out of order ◆ [S01E09] Yes, I am. As of today, I am officially Joey Tribbiani, actor slash model. ◆ [S01E13] No. You decided to go into the out-of-work actor business. Now that wasn't easy, but you did it! And I'd like to believe"	S01E01(1), S01E05(2), S01E06(1), S01E09(1), S01E13(1), S01E23(1), S02E02(1), S02E12-E0213(1), S02E23(1), S02E24(2), S03E03(1), S03E04(2), S03E06(2), S03E07(4), S03E19(2), S03E22(2), S04E11(1), S04E13(2), S04E14(1), S04E15(1), S04E23-uncut(1), S05E01(1), S05E06(2), S05E10(3), S05E18(3), S06E04(1), S06E06(1), S06E12(1), S06E15-E0616(2), S06E18(2), S06E20(5), S06E21(1), S06E22(1), S07-Outtakes(3), S07E04(1), S07E15(1), S07E16(1), S07E19(1), S07E22(1), S07E23(2), S08E01(3), S08E05(1), S08E06(1), S08E10(1), S08E16(1), S08E18(2), S09E08(2), S09E11(2), S09E13(1), S09E15(1), S09E19(2), S09E20(1), S09E21(1), S09E23-E0924(1), S10E04(2), S10E06(1), S10E14(1)
actress	/'æktris/	n. 女演员	n. a female actor	13	8	[S01E12] The actress! ◆ [S02E01] She's the actress that was in Disclosure, Indecent Proposal, Ghost! ◆ [S03E19] Just because she went to Yale drama, she thinks she’s like the greatest actress since, since, sliced bread! ◆ [S03E20] Wait a minute, wait. You’re telling me this actress person is the only woman you ever wanted who didn’t want you back?! ◆ [S03E22] What? So you never went out with an actress before?	S01E12(1), S02E01(1), S03E19(1), S03E20(2), S03E22(1), S07E15(2), S07E18(4), S09E19(1)
actuary	/'æktjuәri/	n. 保险计算员	n someone versed in the collection and interpretation of numerical data (especially someone who uses	1	1	[S09E10] Actuary... no. Book-keeper... no. Topless dancer...   Hey, d'you know what I just realized? You are the sole wage earner	S09E10(1)
adam	/'ædәm/	n. 亚当	n. (Old Testament) in Judeo-Christian mythology; the first man and the husband of Eve and the progen	11	8	[S01E13] I mean hey! I just met you, I don't know you from Adam. ...Only child, right? Parents divorced before you hit puberty. ◆ [S01E14] Ok, Barry's letters. Adam Ritter's boxer shorts. ◆ [S02E03] Hold it hold it. I gotta side with Chandler on this one. When I first moved to the city, I went out a couple of times wi ◆ [S02E15] I can be a waitress. OK watch this. Um, gimme two number ones, 86 the bacon, one Adam and Eve on a raft and rick'em, la- ◆ [S03E24] Y'know I have a torn rotator cuff, a hairline fracture in my right forearm, and a severely bruised Adam’s Apple, but tha	S01E13(1), S01E14(1), S02E03(2), S02E15(1), S03E24(1), S08E02(1), S08E04(3), S08E09(1)
addict	/ә'dikt/	vt. 使沉溺, 使上瘾	n. someone who is so ardently devoted to something that it resembles an addiction	6	2	[S05E09] Joey's a sex addict. ◆ [S06E05] And finally that you were unable to consummate the marriage. Well, that makes sense since you’re gay and addicted to her	S05E09(4), S06E05(2)
adelaide	/'ædәleid/	n. 阿德莱德（女子名, 澳大利亚港市）	n. the state capital of South Australia	1	1	[S02E11] Well then that's it. And if George and Adelaide can't accept that, then the hell with them. Look, if my parents didn't w	S02E11(1)
adelman		n. (Adelman)人名；(英、罗、瑞典)阿德尔曼		8	1	[S02E11] Yeah, um, she was 82 years old. Her name was um, Mrs. Adelman.	S02E11(8)
adidas	/ә'di:dәz/	n. 阿迪达斯（体育用品公司, 主要生产运动服等）		1	1	"[S04E12] ""Are you in there little fetus? In nine will you come great us? I will buy you some Adidas."""	S04E12(1)
adios	/ɑ:'djәus/	[计] 模数输入输出系统, 自动诊断输入输出系统	n a farewell remark	1	1	[S03E12] Adios.	S03E12(1)
adjoin	/ә'dʒɒin/	v. 邻接, 毗连	v. attach or add	2	2	[S02E12-E0213] What? Let me see. [climbs up in the other adjoining stall] ◆ [S09E23-E0924] I'm so glad we've got adjoining rooms!	S02E12-E0213(1), S09E23-E0924(1)
adjust	/ә'dʒʌst/	vt. 调整, 使适应于, 校准	v. alter or regulate so as to achieve accuracy or conform to a standard	2	2	[S06E04] Why don’t you phase it out? Yeah, fade the accent out and people will think you’re, y’know, that you’re adjusting to lif ◆ [S10E02] Look, Charlie, I just want you to know. Ross is just having a little trouble adjusting to the thought of Joey and me. Yo	S06E04(1), S10E02(1)
adjustment	/ә'dʒʌstmәnt/	n. 调整, 调节, 校正	n. making or becoming suitable; adjusting to circumstances	1	1	[S01E20] Dr. Farber, Bobby Rush is here for his adjustment.	S01E20(1)
administer	/әd'ministә/	vt. 管理, 料理, 执行	v. work in an administrative capacity; supervise or be in charge of	1	1	[S10E06] Benjamin Hobart is administering that grant.	S10E06(1)
administrator	/әd'ministreitә/	n. 管理人, 行政官	n. someone who administers a business	1	1	[S02E12-E0213] Hi, Dean Lipson, zoo administrator. I was told you had a question.	S02E12-E0213(1)
admire	/әd'maiә/	vt. 赞美, 钦佩, 爱慕	v. feel admiration for	5	5	[S08E01] Wow, I’ve admired your work for years. You-you’ve done some really amazing stuff. ◆ [S08E23] Can I just say, I really admire what you’re doing. Just raising her all alone. ◆ [S09E04] you know I really admire your whole dating attitude, it's so healthy I'm always like is this moving to fast? Is this mov ◆ [S09E14] No, no, no, I admire a man who can cry. ◆ [S09E21] Phoebe, honey, if you hate it so much, you should walk out there right now and quit! Be true to what you believe in! Hon	S08E01(1), S08E23(1), S09E04(1), S09E14(1), S09E21(1)
admirer	/әd'maiәrә/	n. 钦佩者, 仰慕者, 求爱者	n. a person who admires; someone who esteems or respects or approves	4	4	[S02E12-E0213] [reading] 'Dear Dr. Remore, know that I love you and would do anything to have you.' Gosh. 'Your not-so-secretive admire ◆ [S06E18] Oh, ‘cause you can just match the evaluation to the exam with the same handwriting and boom, there’s your admirer. ◆ [S08E07] And I’m Rachel, an admirer of the building. ◆ [S10E06] It's an honor to meet you. I can't tell you how long I've been an admirer of your work, I mean, that Nobel prize,	S02E12-E0213(1), S06E18(1), S08E07(1), S10E06(1)
admission	/әd'miʃәn/	n. 准许进入, 入场费, 录用, 承认	n. the act of admitting someone to enter	3	1	[S01E17] It's the woman from the hospital admissions office. She says there's a problem with the form. Oh, god, oh god... Rachel 	S01E17(3)
